"mass","wing","tarsus","blength","bdepth","bwidth","year","sex","survival"
23.7,67,17.7,9.1,5.9,6.8,1978,"f",1
23.1,65,19.5,9.5,5.9,7,1978,"f",0
21.8,65.2,19.6,8.7,6,6.7,1978,"f",0
21.7,66,18.2,8.4,6.2,6.8,1978,"f",1
22.5,64.3,19.5,8.5,5.8,6.6,1978,"f",1
22.9,65.8,19.6,8.9,5.8,6.6,1978,"f",1
21.9,66.8,19.7,8.6,6,6.7,1978,"f",1
22.6,65.8,20.5,8.2,5.5,6.8,1978,"f",1
22.2,63.8,19.3,8.8,5.6,6.5,1978,"f",0
21.4,62.6,19,8.1,5.7,6.6,1978,"f",0
22.1,63,18.6,8.4,5.5,6.5,1978,"f",1
22.2,66.2,19.9,8,5.4,6.7,1978,"f",1
22.6,64,19.3,8.5,5.8,6.5,1978,"f",1
21.3,66,20.2,8.7,5.7,6.7,1978,"f",1
21.1,64,19.2,8.8,5.8,6.8,1978,"f",0
23.6,65,19.1,8.8,5.7,6.8,1978,"f",1
23.3,64.2,19.4,8.9,5.8,6.6,1978,"f",1
23.8,65.2,19.5,8.2,5.8,6.4,1978,"f",0
22.6,65.2,19.1,8.9,5.9,6.6,1978,"f",1
22.1,63.8,19.6,8.4,5.8,6.8,1978,"f",0
24.3,63.9,19.4,8.8,5.8,6.6,1978,"f",1
23,64.8,19.5,8.9,5.7,7,1978,"f",1
23.6,64,19.4,8.7,5.7,6.8,1978,"f",0
21.2,63.2,19.3,8.7,5.8,6.5,1978,"f",1
23.1,66.2,20,8.4,5.4,6.7,1978,"f",0
20.9,61.2,18.6,8.3,5.5,6.7,1978,"f",1
23.6,66.2,19.4,8.4,5.6,6.8,1978,"f",0
22.7,63,19.3,8.7,5.6,6.6,1978,"f",0
23.1,65.5,19.8,8.5,5.6,6.8,1978,"f",0
23.6,66,21.3,8.8,5.8,6.6,1978,"f",0
23.8,65.2,20.4,9.4,6.2,7,1978,"f",1
21,66,20.4,8.9,5.9,6.9,1978,"f",0
23.9,65,19.4,8.9,5.9,6.6,1978,"f",1
23.2,64.5,19.7,8.4,5.5,7,1978,"f",0
22.9,65.2,19.3,9,6,6.8,1978,"f",0
21.4,64,19.4,8.6,5.5,6.7,1978,"f",0
21.2,63,19.3,8.1,5.8,6.8,1978,"f",0
22.8,66.5,18.9,8.4,5.8,6.8,1978,"f",1
23,66.2,20,8.3,5.8,6.8,1978,"f",1
25.9,64,20,8.5,5.5,6.6,1978,"f",1
21.5,62.7,19.2,8.6,6.1,6.8,1976,"f",1
21,64.5,19.6,8.3,5.5,6.3,1976,"f",1
23,64,20.2,8.4,5.7,6.7,1976,"f",1
22.5,63.5,20.2,8.3,5.9,6.7,1976,"f",0
23,63,19.9,8.4,5.8,6.5,1976,"f",0
22.6,63,19.4,8.2,5.8,6.8,1976,"f",1
26,64,18.4,8.4,6.1,7,1976,"f",1
24,63,20.2,8.3,6.2,6.8,1976,"f",0
24.5,64,19.5,8.3,5.8,6.5,1976,"f",0
23.5,64,20.8,8.1,5.7,6.6,1976,"f",0
23,63,20,8.2,5.7,6.6,1976,"f",0
23.5,64,20.5,8.4,5.9,6.4,1976,"f",0
23,64,20,8.7,5.9,6.7,1976,"f",1
23.8,63,19.6,8.6,5.8,6.7,1976,"f",0
24,65,19.7,8.1,6.1,6.7,1977,"f",0
21,66,19.8,8.4,5.8,6.8,1977,"f",0
21.7,64,18.6,8.3,5.8,6.7,1977,"f",1
22,65,19.2,9.2,5.8,6.4,1977,"f",0
23.4,65,20.4,8.8,5.7,6.8,1977,"f",1
23.9,62.5,20,8.2,5.8,6.8,1975,"f",1
22.5,65,19.5,8.8,5.7,6.5,1975,"f",1
23,63,19.7,9,6.2,6.7,1976,"f",0
24.6,64.6,19.5,8.7,5.9,6.5,1976,"f",1
22,64,18.9,8.7,5.8,6.2,1976,"f",0
21,63,20.4,8.8,5.9,6.7,1976,"f",0
23.4,66.7,20.5,8.7,5.9,6.6,1976,"f",1
24.8,65.5,18.7,9,5.9,6.7,1976,"f",1
22.6,62,18.9,8.9,6,6.7,1976,"f",1
22,65,18.6,8.4,5.8,6.7,1976,"f",0
22,64,19,9,6.1,6.7,1976,"f",1
21.4,64.4,19.3,9.3,5.9,6.7,1976,"f",1
23,65,19.2,8.4,6,6.8,1976,"f",0
25.2,64.8,19.3,9.1,5.9,6.7,1976,"f",1
22,65,19.7,8.4,6.2,6.5,1976,"f",1
23.6,66.2,19.8,8.6,5.6,6.6,1976,"f",1
21.5,67,20.1,9.2,6.2,7,1976,"f",0
20.5,63,19.1,8.2,5.8,6.2,1976,"f",0
22.4,63.8,20.1,8.3,5.9,6.6,1976,"f",0
24.4,65.5,19.4,8.5,5.8,6.5,1976,"f",0
21.2,64,18.9,8.8,5.8,6.8,1976,"f",0
21.5,65,20.8,8.5,5.8,6.6,1976,"f",0
21.5,65,19.7,8.7,6,6.9,1976,"f",1
22.7,64.8,20,8.7,6,6.7,1976,"f",1
23.5,64,19.6,8.7,5.8,6.3,1976,"f",0
22.6,61.9,18.7,8.4,5.9,6.6,1976,"f",1
21,66,19.1,8.9,6,7,1977,"f",1
20.5,65,19.9,8.7,5.5,6.5,1977,"f",0
22.2,64,20.2,8.2,5.7,6.3,1977,"f",0
22,66,20.1,8.1,5.8,6.7,1977,"f",0
27,65,20.7,9,5.8,7.2,1977,"f",0
21.2,64,20,8.3,6,6.5,1977,"f",0
22.6,64,19.4,8.6,5.8,6.6,1977,"f",1
21.5,66,20.2,8.4,5.7,6.5,1977,"f",0
25.5,64,19.8,8.8,5.8,6.5,1977,"f",0
23,64,20.1,8.4,5.7,6.8,1977,"f",0
23,64,20.8,8.4,5.8,6.6,1977,"f",0
23,64.3,19.9,8.6,5.7,6.7,1977,"f",1
21.5,62.5,19.8,8.1,5.7,6.5,1977,"f",0
19.5,63,19.8,8.8,5.9,6.6,1977,"f",0
22.9,63.7,19.8,8.7,5.7,6.6,1977,"f",1
22.7,63.7,19.5,8.9,6,7,1977,"f",1
24,65,20.2,8.6,6,6.8,1977,"f",1
23.5,62.5,19.2,8.9,6.2,6.7,1977,"f",1
23.8,66.5,19.3,8.8,6.1,6.7,1976,"f",1
23,65,19.9,8.4,6,6.8,1977,"f",0
21.5,64,19.1,8.8,5.7,6.6,1977,"f",1
20.5,66,19.4,8.4,5.7,6.9,1977,"f",0
24,64,19.6,8.9,6.2,7,1977,"f",0
23.5,66,20,8.7,6.3,6.7,1977,"f",0
24.4,64.8,19.2,8.5,5.9,6.6,1977,"f",1
24,64,19.9,8.5,5.7,6.6,1977,"f",1
24,64,19.4,8,5.9,6.7,1977,"f",0
21.5,64.7,19.8,8.7,6,6.7,1977,"f",1
23,66,19.7,8.5,5.8,6.6,1977,"f",0
22.5,63,19.4,8.4,5.7,6.7,1977,"f",1
23,63,18.9,8.9,5.4,6.7,1977,"f",1
24.4,65.3,20.1,8.8,6,6.9,1977,"f",1
23,64,19.8,8.8,6.1,6.9,1977,"f",0
24.5,64.5,20.1,8.9,6.1,6.7,1977,"f",0
22.5,65,18.9,8.6,6,7.1,1977,"f",0
24.5,65.5,20,8.4,6,6.6,1977,"f",0
22.8,64.5,19.5,8.3,6,6.9,1977,"f",1
23.5,64,19.9,8.5,5.9,6.8,1977,"f",0
22.6,64.2,19,9.2,6.1,7,1977,"f",1
21.8,64.3,19.2,9.2,5.9,6.8,1978,"f",1
22.2,64.9,18.8,8.9,5.9,6.8,1978,"f",1
22.9,66.8,19.9,8.8,5.7,6.8,1978,"f",1
23.1,66.2,20.7,8.8,5.6,6.5,1978,"f",1
21.7,64,18.4,8.7,5.8,6.7,1978,"f",1
22.1,66,19.4,8.7,5.8,6.8,1978,"f",0
22.1,63.5,19.5,8.4,5.7,6.7,1978,"f",0
21.3,65.5,19.1,8.9,6.1,6.7,1978,"f",1
23.1,65.8,19,9.3,6.1,6.9,1978,"f",1
23.4,64,19.6,8.6,5.8,6.7,1978,"f",0
22.8,66.3,19.5,8.8,5.8,6.7,1978,"f",1
21.2,64,19.7,8.4,5.5,6.5,1978,"f",1
26.5,65,20.8,8.5,5.9,6.6,1975,"f",0
23,63.2,19.8,8.3,5.7,6.6,1975,"f",0
23.3,65,20.2,8.6,5.8,6.2,1975,"f",0
25.5,64,20.5,8.5,6,6.4,1975,"f",0
22,64,19.6,8.6,6,6.6,1975,"f",0
24.4,65,19.4,8.9,5.9,6.8,1975,"f",1
23,64,20.3,9.2,5.9,6.4,1975,"f",0
23.2,65,20.3,7.8,5.4,5.9,1975,"f",0
24.5,65,20.2,9.1,5.9,6.5,1975,"f",0
